FileName,SKU,ISBN,Title,Pub Date,File Size,Pages,Category for Bot,Original Category,Pg %,Royalty,Words,Comment,,,,,,,,,,,,,,
5025 - 9781583470237_Text.pdf,5025,9781583470237,RPG IV at Work,10/01/00,39.0 MB,552,RPG,Programming,1.229%, $	9.22 ,,,,,,,,,,,,,,,,
5050 - 9781583470176_Text.pdf,5050,9781583470176,iSeries and AS/400 Programmer's Guide to Cool Things,02/01/02,39.2 MB,320,,Programming,0.712%, $	5.34 ,,,,,,,,,,,,,,,,
5056 - 9781583470411_Text.pdf,5056,9781583470411,e-RPG(v2) e-Volving RPG Applications for a Connected World,06/01/02,3.2 MB,400,RPG,Programming,0.891%, $	6.68 ,,,,,,,,,,,,,,,,
5058 - 9781583470435_Text.pdf,5058,9781583470435,Active Server Pages Primer,05/01/03,22.4 MB,230,,Programming,0.512%, $	3.84 ,,,,,,,,,,,,,,,,
5059 - 9781583470442_Text.pdf,5059,9781583470442,Eclipse: Step by Step,08/01/03,22.7 MB,376,,Programming,0.837%, $	6.28 ,,,,,,,,,,,,,,,,
5060 - 9781583470459_Text.pdf,5060,9781583470459,How to Become a Highly Paid Corporate Programmer,03/01/04,2.2 MB,228,,Management and Career,0.508%, $	3.81 ,,,,,,,,,,,,,,,,
5061 - 9781583470466_Text.pdf,5061,9781583470466,Qshell for iSeries,02/01/04,6.4 MB,592,,Operating Systems,1.318%, $	9.89 ,,,,,,,,,,,,,,,,
5063 - 9781583470480_Text.pdf,5063,9781583470480,SQL for eServer i5 and iSeries,09/01/04,3.0 MB,368,,Database,0.819%, $	6.15 ,,,,,,,,,,,,,,,,
5066 - 9781583470510_Text.pdf,5066,9781583470510,WDSC: Step by Step,12/01/04,44.2 MB,616,,Application Development,1.372%, $	10.29 ,,,,,,,,,,,,,,,,
5068 - 9781583470534_Text.pdf,5068,9781583470534,Fundamentals of Technology Project Management: First Edition,12/01/04,4.6 MB,520,,Management and Career,1.158%, $	8.68 ,,,,,,,,,,,,,,,,
5069 - 9781583470541_Text.pdf,5069,9781583470541,SQL Built-In Functions and Stored Procedures,06/15/05,13.9 MB,176,,Database,0.392%, $	2.94 ,,,,,,,,,,,,,,,,
5070 - 9781583470398_Text.pdf,5070,9781583470398,IBM i5/iSeries Primer,05/01/06,39.7 MB,648,,Operating Systems,1.443%, $	10.82 ,,,,,,,,,,,,,,,,
5072 - 9781583470572_Text.pdf,5072,9781583470572,i5/OS and Microsoft Office Integration Handbook,09/01/05,32.9 MB,384,,Programming,0.855%, $	6.41 ,,,,,,,,,,,,,,,,
5073 - 9781583470558_Text.pdf,5073,9781583470558,Free-Format RPG IV: First Edition,04/01/05,20.4 MB,216,RPG,Programming,0.481%, $	3.61 ,,,,,,,,,,,,,,,,
5074 - 9781583470763_Text.pdf,5074,9781583470763,Administering Informix Dynamic Server,10/15/08,6.0 MB,448,,Database,0.997%, $	7.48 ,,,,,,,,,,,,,,,,
5075 - 9781583470473_Text.pdf,5075,9781583470473,The Programmer's Guide to iSeries Navigator,02/01/06,28.6 MB,376,,Programming,0.837%, $	6.28 ,,,,,,,,,,,,,,,,
5076 - 9781583470596_Text.pdf,5076,9781583470596,BYTE-ing Satire,04/01/06,1007 kB,192,,Management and Career,0.427%, $	3.21 ,,,,,,,,,,,,,,,,
5077 - 9781583470619_Text.pdf,5077,9781583470619,WebSphere Application Server: Step by Step,05/01/06,72.2 MB,808,,Application Development,1.799%, $	13.49 ,,,,,,,,,,,,,,,,
5078 - 9781931182317_Text.pdf,5078,9781931182317,Advanced Java EE Development for Rational Application Developer 7.5,05/01/11,42.9 MB,877,,Programming,1.953%, $	14.64 ,,,,,,,,,,,,,,,,
5079 - 9781583470657_Text.pdf,5079,9781583470657,SOA for the Business Developer,05/15/07,63.0 MB,328,,Management and Career,0.730%, $	5.48 ,,,,,,,,,,,,,,,,
5080 - 9781583470640_Text.pdf,5080,9781583470640,The Modern RPG IV Language,09/01/06,21.5 MB,712,RPG,Programming,1.585%, $	11.89 ,,,,,,,,,,,,,,,,
5081 - 9781583470626_Text.pdf,5081,9781583470626,Managing Without Walls,11/01/06,8.0 MB,440,,Management and Career,0.980%, $	7.35 ,,,,,,,,,,,,,,,,
5083 - 9781583470732_Text.pdf,5083,9781583470732,System i Disaster Recovery Planning,03/01/08,7.5 MB,632,,System Administration,1.407%, $	10.55 ,,,,,,,,,,,,,,,,
5084 - 9781583470701_Text.pdf,5084,9781583470701,JavaScript for the Business Developer,06/01/07,2.0 MB,176,,Programming,0.392%, $	2.94 ,,,,,,,,,,,,,,,,
5085 - 9781583470695_Text.pdf,5085,9781583470695,IBM System i APIs at Work,09/01/07,37.9 MB,760, ,Programming,1.692%, $	12.69 ,,,,,,,,,,,,,,,,
5086 - 9781583470718_Text.pdf,5086,9781583470718,DB2 9 for Developers,03/01/08,77.0 MB,568,,Database,1.265%, $	9.48 ,,,,,,,,,,,,,,,,
5087 - 9781583470664_Text.pdf,5087,9781583470664,IBM Rational Business Developer with EGL,06/01/08,8.0 MB,224,,Application Development,0.499%, $	3.74 ,,,,,,,,,,,,,,,,
5088 - 9781583470725_Text.pdf,5088,9781583470725,DB2 9 Fundamentals (Exam 730),11/01/12,38.5 MB,656,,Database,1.461%, $	10.95 ,,,,,,,,,,,,,,,,
5089 - 9781583470749_Text.pdf,5089,9781583470749,DB2 9 for z/OS Database Administration (Exam 732),01/01/08,70.5 MB,992,,Database,2.209%, $	16.56 ,,,,,,,,,,,,,,,,
5092 - 9781583470794_Text.pdf,5092,9781583470794,HTML for the Business Developer,09/15/08,5.9 MB,624,,Programming,1.389%, $	10.42 ,,,,,,,,,,,,,,,,
5093 - 9781583470800_Text.pdf,5093,9781583470800,"DB2 9 for Linux, UNIX, and Windows Advanced Database Administration (Exam 734)",11/03/08,12.5 MB,886,,Database,1.973%, $	14.79 ,,,,,,,,,,,,,,,,
5094 - 9781583470817_Text.pdf,5094,9781583470817,The Remote System Explorer,11/24/08,5.6 MB,536,,Application Development,1.193%, $	8.95 ,,,,,,,,,,,,,,,,
5096 - 9781583470831_Text.pdf,5096,9781583470831,The IBM i Programmer's Guide to PHP,05/01/09,4.8 MB,376,,Programming,0.837%, $	6.28 ,,,,,,,,,,,,,,,,
5099 - 9781583470862_Text.pdf,5099,9781583470862,New Intelligence for a Smarter Planet,10/01/09,5.5 MB,112,,Database,0.249%, $	1.87 ,,,,,,,,,,,,,,,,
5100 - 9781583470879_Text.pdf,5100,9781583470879,Functions in Free-Format RPG IV,06/01/09,3.2 MB,192,RPG,Programming,0.427%, $	3.21 ,,,,,,,,,,,,,,,,
5101 - 9781583473504_Text.pdf,5101,9781583473504,MDM for Customer Data,11/01/09,566 kB,96,,Database,0.214%, $	1.60 ,,,,,,,,,,,,,,,,
5103 - 9781583470909_Text.pdf,5103,9781583470909,Complete CL: Fifth Edition,04/01/09,2.9 MB,520,,Programming,1.158%, $	8.68 ,,,,,,,,,,,,,,,,
5104 - 9781583470947_Text.pdf,5104,9781583470947,Subfiles in Free-Format RPG,08/01/11,2.2 MB,241,RPG,Programming,0.537%, $	4.02 ,,,,,,,,,,,,,,,,
5105 - 9781583470954_Text.pdf,5105,9781583470954,"Advanced, Integrated RPG",01/01/10,39.2 MB,400,RPG,Programming,0.891%, $	6.68 ,,,,,,,,,,,,,,,,
5106 - 9781583470961_Text.pdf,5106,9781583470961,DB2 9 System Administration for z/OS (Exam 737),08/15/10,2.0 MB,424,,Database,0.944%, $	7.08 ,,,,,,,,,,,,,,,,
5107 - 9781583470916_Text.pdf,5107,9781583470916,Enterprise Web 2.0 with EGL,05/01/09,13.1 MB,352,,Application Development,0.784%, $	5.88 ,,,,,,,,,,,,,,,,
5108 - 9781583470893_Text.pdf,5108,9781583470893,Developing Web 2.0 Applications with EGL for IBM i,11/01/09,6.8 MB,280,,Programming,0.623%, $	4.68 ,,,,,,,,,,,,,,,,
5109 - 9781583470930_Text.pdf,5109,9781583470930,Identity Management,09/15/09,1008 kB,232,,System Administration,0.517%, $	3.87 ,,,,,,,,,,,,,,,,
5110 - 9781583470978_Text.pdf,5110,9781583470978,From Idea to Print,10/25/11,2.7 MB,432,,Management and Career,0.962%, $	7.21 ,,,,,,,,,,,,,,,,
5111 - 9781583470985_Text.pdf,5111,9781583470985,Driving the Power of AIX,11/01/09,4.1 MB,240,,Operating Systems,0.534%, $	4.01 ,,,,,,,,,,,,,,,,
5112 - 9781583470992_Text.pdf,5112,9781583470992,You Want to Do What with PHP?,10/15/10,4.4 MB,432,,Programming,0.962%, $	7.21 ,,,,,,,,,,,,,,,,
5116 - 9781583473603_Text.pdf,5116,9781583473603,The IBM Data Governance Unified Process,10/01/10,2.4 MB,168,,Database,0.374%, $	2.81 ,,,,,,,,,,,,,,,,
5117 - 9781583473610_Text.pdf,5117,9781583473610,DB2 10 for z/OS: Cost Savings...Right Out of the Box,11/01/10,1.9 MB,104,,Database,0.232%, $	1.74 ,,,,,,,,,,,,,,,,
5118 - 9781583473627_Text.pdf,5118,9781583473627,Business Intelligence Strategy,11/01/10,821 kB,136,,Database,0.303%, $	2.27 ,,,,,,,,,,,,,,,,
5119 - 9781583473634_Text.pdf,5119,9781583473634,IBM Business Analytics and Cloud Computing,11/01/10,4.5 MB,128,,Database,0.285%, $	2.14 ,,,,,,,,,,,,,,,,
5120 - 9781583473641_Text.pdf,5120,9781583473641,RPG TnT,05/01/11,1.9 MB,304,RPG,Programming,0.677%, $	5.08 ,,,,,,,,,,,,,,,,
5121 - 9781583473535_Text.pdf,5121,9781583473535,Leadership in My Rearview Mirror,02/22/12,1.5 MB,290,,Management and Career,0.646%, $	4.84 ,,,,,,,,,,,,,,,,
5122 - 9781583473542_Text.pdf,5122,9781583473542,IT Virtualization Best Practices,01/01/11,4.5 MB,304,,System Administration,0.677%, $	5.08 ,,,,,,,,,,,,,,,,
5125 - 9781583473689_Text.pdf,5125,9781583473689,Selling Information Governance to the Business,11/01/11,8.9 MB,456,,Database,1.015%, $	7.61 ,,,,,,,,,,,,,,,,
5126 - 9781583473672_Text.pdf,5126,9781583473672,"DB2 9.7 for Linux, UNIX, and Windows Database Administration (Exam 541)",11/02/11,11.2 MB,168,,Database,0.374%, $	2.81 ,,,,,,,,,,,,,,,,
5127 - 9781583473696_Text.pdf,5127,9781583473696,DB2 10 for z/OS Database Administration (Exam 612),04/05/12,3.6 MB,1008,,Database,2.244%, $	16.83 ,,,,,,,,,,,,,,,,
5129 - 9781583473733_Text.pdf,5129,9781583473733,IBM i Security Administration and Compliance,05/01/12,5.7 MB,368,,System Administration,0.819%, $	6.15 ,,,,,,,,,,,,,,,,
5131 - 9781583473399_Text.pdf,5131,9781583473399,Fundamentals of Technology Project Management: Second Edition,09/21/12,32.0 MB,736,,Management and Career,1.639%, $	12.29 ,,,,,,,,,,,,,,,,
5135 - 9781583473436_Text.pdf,5135,9781583473436,5 Keys to Business Analytics Program Success,11/15/12,2.5 MB,168,,Database,0.374%, $	2.81 ,,,,,,,,,,,,,,,,
5136 - 9781583473450_Text.pdf,5136,9781583473450,"DB2 10 for z/OS: The Smarter, Faster Way to Upgrade",10/01/11,2.6 MB,112,,Database,0.249%, $	1.87 ,,,,,,,,,,,,,,,,
5137 - 9781583473443_Text.pdf,5137,9781583473443,Customer Experience Analytics,12/01/11,5.2 MB,160,,Database,0.356%, $	2.67 ,,,,,,,,,,,,,,,,
5139 - 9781583473474_Text.pdf,5139,9781583473474,Free-Format RPG IV: Second Edition,06/01/13,1.1 MB,232,RPG,Programming,0.517%, $	3.87 ,,,,,,,,,,,,,,,,
5140 - 9781583473498_Text.pdf,5140,9781583473498,DB2 10.1 Fundamentals (Exam 610),08/15/14,3.9 MB,536,,Database,1.193%, $	8.95 ,,,,,,,,,,,,,,,,
5141 - 9781583473757_Text.pdf,5141,9781583473757,"DB2 10.1/10.5 for Linux, UNIX, and Windows Database Administration (Exams 611 and 311)",09/01/15,69.5 MB,1247,,Database,2.776%, $	20.82 ,,,,,,,,,,,,,,,,
5143 - 9781583473771_Text.pdf,5143,9781583473771,Big Data Governance,01/01/13,7.9 MB,368,,Database,0.819%, $	6.15 ,,,,,,,,,,,,,,,,
5145 - 9781583473801_Text.pdf,5145,9781583473801,Big Data Analytics,11/15/12,2.2 MB,96,,Database,0.214%, $	1.60 ,,,,,,,,,,,,,,,,
5146 - 9781583473818_Text.pdf,5146,9781583473818,The Business Value of DB2 for z/OS,05/28/13,2.8 MB,144,,Database,0.321%, $	2.40 ,,,,,,,,,,,,,,,,
5147 - 9781583473825_Text.pdf,5147,9781583473825,IBM InfoSphere: A Platform for Big Data Governance and Process Data Governance,03/12/13,4.3 MB,112,,Database,0.249%, $	1.87 ,,,,,,,,,,,,,,,,
5149 - 9781583473849_Text.pdf,5149,9781583473849,Advanced Guide to PHP on IBM i,04/01/14,2.8 MB,336,,Programming,0.748%, $	5.61 ,,,,,,,,,,,,,,,,
5150 - 9781583478288_Text.pdf,5150,9781583478288,IBM Mainframe Security,09/30/13,2.0 MB,224,,System Administration,0.499%, $	3.74 ,,,,,,,,,,,,,,,,
5151 - 9781583473856_Text.pdf,5151,9781583473856,DB2 11: The Database for Big Data and Analytics,11/22/13,11.0 MB,128,,Database,0.285%, $	2.14 ,,,,,,,,,,,,,,,,
5154 - 9781583473979_Text.pdf,5154,9781583473979,DB2 11 for z/OS Database Administration: Certification Study Guide (Exam 312),07/15/16,2.8 MB,600,,Database,1.336%, $	10.02 ,,,,,,,,,,,,,,,,
5155 - 9781583478325_Text.pdf,5155,9781583478325,"Flexible Input, Dazzling Output with IBM i",10/22/14,9.5 MB,444,,Programming,0.989%, $	7.41 ,,,,,,,,,,,,,,,,
5156 - 9781583478400_Text.pdf,5156,9781583478400,IBM Cloud Platform Primer,09/28/15,9.4 MB,208,,Application Development,0.463%, $	3.47 ,,,,,,,,,,,,,,,,
5157 - 9781583478448_Text.pdf,5157,9781583478448,Data Governance Tools,02/01/15,87.3 MB,368,,Database,0.819%, $	6.15 ,,,,,,,,,,,,,,,,
5158 - 9781583474051_Text.pdf,5158,9781583474051,"21st Century RPG: /Free, ILE, and MVC",07/10/17,1.5 MB,360,RPG,Programming,0.802%, $	6.01 ,,,,,,,,,,,,,,,,
5160 - 9781583474136_Text.pdf,5160,9781583474136,Free-Format RPG IV: Third Edition,04/01/15,1.0 MB,232,RPG,Programming,0.517%, $	3.87 ,,,,,,,,,,,,,,,,
5161 - 9781583474211_Text.pdf,5161,9781583474211,Complete CL: Sixth Edition,09/01/17,6.4 MB,472,,Programming,1.051%, $	7.88 ,,,,,,,,,,,,,,,,
5162 - 9781583474259_Text.pdf,5162,9781583474259,Evolve Your RPG Coding: Move from OPM to ILE ... and Beyond,12/01/15,12.3 MB,440,RPG,Programming,0.980%, $	7.35 ,,,,,,,,,,,,,,,,
5163 - 9781583474297_Text.pdf,5163,9781583474297,IBM i Security Administration and Compliance: Second Edition,05/11/16,6.9 MB,448,,System Administration,0.997%, $	7.48 ,,,,,,,,,,,,,,,,
5167 - 9781583474525_Text.pdf,5167,9781583474495,SQL for IBM I: A Database Moderzation Guide,01/01/18,7.7 MB,375,,Database,0.835%, $	6.26 ,,,,,,,,,,,,,,,,
5168 - 9781583474570_Text.pdf,5168,9781583474570,DB2 10.5 Fundamentals for LUW (Exam 615),04/11/16,83.1 MB,520,,Database,1.158%, $	8.68 ,,,,,,,,,,,,,,,,
5169 - 9781583474822_Text.pdf,5169,9781583474822,DB2 10.5 DBA for LUW Upgrade from DB2 10.1: Certification Study Notes,05/09/16,8.5 MB,160,,Database,0.356%, $	2.67 ,,,,,,,,,,,,,,,,
5170 - 9781583474952_Text.pdf,5170,9781583474952,Open Source Starter Guide for IBM i Developers,06/15/17,1.9 MB,240,,Programming,0.534%, $	4.01 ,,,,,,,,,,,,,,,,
5171 - 9781583474990_Text.pdf,5171,9781583474990,Identity Management: A Business Perspective,02/20/17,2.1 MB,256,,System Administration,0.570%, $	4.27 ,,,,,,,,,,,,,,,,
5172 - 9781583478561_Text.pdf,5172,9781583478561,DB2 11 System Administrator for z/OS: Certification Study Guide (Exam 317),11/26/16,2.8 MB,304,,Database,0.677%, $	5.08 ,,,,,,,,,,,,,,,,
5177 - 9781583478837_Text.pdf,5177,9781583478806,"Extract, Transform, and Load with SQL Server Intergration Services",05/01/18,14.3 MB,396,,Database,0.882%, $	6.61 ,,,,,,,,,,,,,,,,
5179 - 9781583478912_Text.pdf,5179,9781583478882,QuickStart Guide to Db2 Development with Python,06/03/19,3.4 MB,71,,Database,0.158%, $	1.19 ,,,,,,,,,,,,,,,,
5180 - 9781583478929_Text.pdf,5180,9781583478929,Artificial Intelligence: Evolution and Revolution,10/01/19,4.6 MB,116,,Database,0.258%, $	1.94 ,,,,,,,,,,,,,,,,
5181 - 9781583470275_Text.pdf,5181,9781583470275,IBM I Security Administration and Compliance: Third Edition,04/01/20,9.5 MB,438,,System Administration,0.975%, $	7.31 ,,,,,,,,,,,,,,,,
5182 - 9781583479018_Text.pdf,5182,9781583479001,Mastering IBM i Security: A Modern Step-by-Step Guide,07/01/22,10.9 MB,185,,System Administration,0.412%, $	3.09 ,,,,,,,,,,,,,,,,
5183 - 9781583479056_Text.pdf,5183,9781583479049,Data Fabric: An Intelligent Data Architecutre for AI,11/01/22,3.5 MB,130,,Database,0.289%, $	2.17 ,,,,,,,,,,,,,,,,
5184 - 9781583478974_Text.pdf,5184,9781583478967,Digital Marketplaces for Knowledge Intensive Assets,11/01/23,5.4 MB,184,,Database,0.410%, $	3.07 ,,,,,,,,,,,,,,,,
5185 - 9781583479087_Text.pdf,5185,9781583479070,The Lakehouse Effect: A New Era for Database Insights and AI,03/01/24,4.6 MB,120,,Database,0.267%, $	2.00 ,,,,,,,,,,,,,,,,
5190 - 9781583474013_Text.pdf,5190,9781583474013,"DB2 11: The Ultimate Database for Cloud, Analytics, and Mobile",02/01/15,1.2 MB,112,,Application Development,0.249%, $	1.87 ,,,,,,,,,,,,,,,,
5191 - 9781583474174_Text.pdf,5191,9781583474174,The Chief Data Officer Handbook for Data Governance,04/15/15,714 kB,80,,Database,0.178%, $	1.34 ,,,,,,,,,,,,,,,,
5192 - 9781583474372_Text.pdf,5192,9781583474372,IBM DB2 for z/OS: The Database for Gaining a Competitive Advantage!,11/01/15,3.9 MB,112,,Database,0.249%, $	1.87 ,,,,,,,,,,,,,,,,
5194 - 9781583478608_Text.pdf,5194,9781583478608,DB2 12 for z/OS - The #1 Enterprise Database,11/01/16,6.2 MB,160,,Database,0.356%, $	2.67 ,,,,,,,,,,,,,,,,
5225 - 9781931182218_Text.pdf,5225,9781931182218,Developing Web Services for Web Applications,09/15/05,12.3 MB,392,,Programming,0.873%, $	6.55 ,,,,,,,,,,,,,,,,
5226 - 9781931182225_Text.pdf,5226,9781931182225,An Introduction to IBM Rational Application Developer,06/01/05,53.0 MB,640,,Application Development,1.425%, $	10.69 ,,,,,,,,,,,,,,,,
5227 - 9781931182232_Text.pdf,5227,9781931182232,IBM WebSphere Portal Primer,07/01/05,7.3 MB,528,,Application Development,1.176%, $	8.82 ,,,,,,,,,,,,,,,,
5231 - 9781931182270_Text.pdf,5231,9781931182270,Building Applications with IBM Rational Application Developer and JavaBeans,01/01/08,4.8 MB,624,,Application Development,1.389%, $	10.42 ,,,,,,,,,,,,,,,,
5232 - 9781931182287_Text.pdf,5232,9781931182287,Programming Portlets,05/01/07,95.8 MB,528,,Application Development,1.176%, $	8.82 ,,,,,,,,,,,,,,,,
5234 - 9781931182294_Text.pdf,5234,9781931182294,Java for RPG Programmers,12/01/06,3.3 MB,824,,Programming,1.835%, $	13.76 ,,,,,,,,,,,,,,,,
5500 - 9781583470152_Text.pdf,5500,9781583470152,Understanding AS/400 System Operations,10/01/05,51.5 MB,816,,Operating Systems,1.817%, $	13.63 ,,,,,,,,,,,,,,,,
5504 - 9781583473559_Text.pdf,5504,9781583473559,Programming in RPG IV,08/01/10,6.7 MB,576,RPG,Programming,1.282%, $	9.62 ,,,,,,,,,,,,,,,,
5505 - 9781583473566_Text.pdf,5505,9781583473566,Mastering IBM i,05/01/11,14.1 MB,952,,Operating Systems,2.120%, $	15.90 ,,,,,,,,,,,,,,,,
5506 - 9781583473573_Text.pdf,5506,9781583473573,Database Design and SQL for DB2,04/24/13,2.4 MB,504,,Database,1.122%, $	8.42 ,,,,,,,,,,,,,,,,
5507 - 9781583473580_Text.pdf,5507,9781583473580,Control Language Programming for IBM i,09/01/11,14.7 MB,592,,Programming,1.318%, $	9.89 ,,,,,,,,,,,,,,,,
5508 - 9781583473665_Text.pdf,5508,9781583473665,Mastering the AS/400,04/01/11,17.5 MB,576,,Operating Systems,1.282%, $	9.62 ,,,,,,,,,,,,,,,,
5510 - 9781583473481_Text.pdf,5510,9781583473481,"Developing Business Applications for the Web: With HTML, CSS, JSP, PHP, ASP.NET, and JavaScript",04/21/17,7.6 MB,576,,Application Development,1.282%, $	9.62 ,,,,,,,,,,,,,,,,
5511 - 9781583473795_Text.pdf,5511,9781583473795,"Programming in ILE RPG, Fifth Edition",09/15/15,6.2 MB,664,RPG,Programming,1.478%, $	11.09 ,,,,,,,,,,,,,,,,
588 - 9781883884567_Text.pdf,588,9781883884567,The RPG Progrmmer's Guid to RPG IV and ILE,06/01/08,54.7 MB,368,RPG,Programming,0.819%, $	6.15 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,113,,,Total Pgs,," 	44,914 ",,," $	5,000.00 ", $	750.00 ,,,,,,,,,,,,,,,,
,,,,Total Books,,113,,,15%,,,,,,,,,,,,,,,,,
,,,,,,,,, $	750.00 ,,,,,,,,,,,,,,,,,
